World Rank,Institution,Country,National Rank,Quality of Education Rank,Alumni Employment Rank,Quality of Faculty Rank,Research Performance Rank,Score
832,"University of Nevada, Las Vegas",USA,192,-,984,-,794,71.3
843,Rutgers University–Newark,USA,193,-,822,-,805,71.2
846,Wesleyan University,USA,194,-,54,-,1519,71.2
847,"University of California, Merced",USA,195,-,-,-,803,71.2
850,University of Louisiana at Lafayette,USA,196,-,-,-,806,71.2
859,Uniformed Services University of the Health Sciences,USA,197,-,-,-,814,71.1
861,Northern Arizona University,USA,198,-,1121,-,817,71.1
870,Southern Illinois University Carbondale,USA,199,-,1442,-,823,71.1
878,University of Akron,USA,200,-,698,-,845,71
886,Portland State University,USA,201,-,365,-,888,70.9
893,New Mexico State University,USA,202,465,718,-,858,70.9
898,East Carolina University,USA,203,-,801,-,859,70.9
904,Michigan Technological University,USA,204,347,1051,-,864,70.8
906,North Dakota State University,USA,205,302,1036,-,872,70.8
911,Oberlin College,USA,206,26,-,-,-,70.8
916,Missouri University of Science and Technology,USA,207,-,399,-,904,70.8
928,Pepperdine University,USA,208,93,77,158,-,70.7
933,Claremont McKenna College,USA,209,-,39,-,-,70.6
936,Bucknell University,USA,210,-,51,-,1811,70.6
942,Sanford Burnham Prebys Medical Discovery Institute,USA,211,-,-,-,896,70.6
947,Colgate University,USA,212,-,47,-,1985,70.6
948,New Jersey Institute of Technology,USA,213,422,696,-,914,70.5
959,Pomona College,USA,214,32,871,271,-,70.5
965,University of Memphis,USA,215,-,442,-,948,70.4
972,University of Texas Rio Grande Valley,USA,216,-,-,-,926,70.4
978,Florida Institute of Technology,USA,217,-,709,-,943,70.4
980,Hunter College,USA,218,151,1260,-,992,70.4
1000,American University,USA,219,-,361,-,999,70.2
1004,Creighton University,USA,220,-,-,-,959,70.2
1005,Louisiana Tech University,USA,221,-,320,-,1011,70.2
1020,United States Naval Academy,USA,222,68,170,-,1679,70.1
1022,University of Texas at El Paso,USA,223,-,1009,-,984,70.1
1024,SUNY Upstate Medical University,USA,224,-,-,-,981,70.1
1027,Babson College,USA,225,-,42,-,-,70.1
1033,Manhattan College,USA,226,-,110,-,1285,70
1043,Villanova University,USA,227,408,137,-,1208,70
1055,Rochester Institute of Technology,USA,228,-,1079,-,1012,69.9
1056,Smith College,USA,229,52,279,-,1940,69.9
1058,Fordham University,USA,230,-,213,-,1127,69.9
1062,University of Puerto Rico at Mayagüez,USA,231,-,-,-,1019,69.9
1065,Florida Atlantic University,USA,232,-,-,-,1022,69.9
1068,Worcester Polytechnic Institute,USA,233,-,165,-,1200,69.8
1077,University of North Carolina at Greensboro,USA,234,-,-,-,1032,69.8
1096,College of the Holy Cross,USA,235,184,56,-,-,69.7
1101,Loma Linda University,USA,236,-,-,-,1054,69.6
1115,University of Massachusetts Lowell,USA,237,-,863,-,1072,69.6
1117,"California State University, Fresno",USA,238,-,-,-,1066,69.6
1122,South Dakota State University,USA,239,289,-,-,1085,69.5
1133,San Francisco State University,USA,240,-,1097,-,1084,69.5
1135,Wright State University,USA,241,-,-,-,1083,69.5
1136,Marquette University,USA,242,-,316,-,1147,69.5
1137,New York Medical College,USA,243,-,-,-,1086,69.5
1148,Hofstra University,USA,244,421,732,-,1105,69.4
1149,Howard University,USA,245,-,-,-,1096,69.4
1151,Bowdoin College,USA,246,108,81,-,-,69.4
1153,United States Military Academy,USA,247,-,59,-,-,69.4
1155,Stevens Institute of Technology,USA,248,372,195,-,1295,69.4
1169,Santa Clara University,USA,249,-,106,-,1555,69.3
1170,University of Missouri-St. Louis,USA,250,-,384,-,1177,69.3
1178,University of Dayton,USA,251,211,136,-,1490,69.2
1179,"California Polytechnic State University, San Luis Obispo",USA,252,-,403,-,1182,69.2
1189,Clark University,USA,253,-,175,-,1365,69.2
1192,Oakland University,USA,254,-,-,-,1130,69.2
1193,University of North Dakota,USA,255,-,1048,-,1132,69.2
1197,Albany Medical College,USA,256,-,-,-,1133,69.1
1201,Menlo College,USA,257,-,44,-,-,69.1
1203,University of Alabama in Huntsville,USA,258,-,-,-,1138,69.1
1216,"University of Puerto Rico, Medical Sciences Campus",USA,259,-,-,-,1150,69
1226,Catholic University of America,USA,260,-,1008,-,1165,69
1240,Texas State University,USA,261,-,1428,-,1176,68.9
1248,Boise State University,USA,262,-,1514,-,1184,68.9
1271,SUNY College of Environmental Science and Forestry,USA,263,99,-,-,1489,68.8
1272,Bowling Green State University,USA,264,-,749,-,1223,68.8
1289,"California State University, Fullerton",USA,265,-,1116,-,1228,68.7
1291,Hampton University,USA,266,-,-,-,1227,68.7
1294,"California State University, Northridge",USA,267,-,1222,-,1233,68.6
1362,San Jose State University,USA,268,251,941,-,1346,68.3
1364,Western Michigan University,USA,269,-,-,-,1306,68.3
1367,University of South Alabama,USA,270,-,-,-,1308,68.3
1369,Carleton College,USA,271,77,314,-,1921,68.3
1393,Grinnell College,USA,272,48,-,-,-,68.2
1394,Williams College,USA,273,149,151,-,1868,68.2
1401,"California State University, Long Beach",USA,274,-,1419,-,1335,68.1
1410,Clarkson University,USA,275,-,797,-,1353,68.1
1413,Fairfield University,USA,276,-,515,-,1392,68.1
1420,University of South Dakota,USA,277,284,-,-,1376,68
1421,University of Minnesota Duluth,USA,278,303,1259,-,1374,68
1425,University of Southern Mississippi,USA,279,-,-,-,1356,68
1429,Baruch College,USA,280,-,704,263,1515,68
1451,Texas Tech University Health Sciences Center,USA,281,-,-,-,1386,67.9
1453,Nova Southeastern University,USA,282,-,959,-,1395,67.9
1455,University of San Francisco,USA,283,-,116,-,1953,67.9
1470,Ball State University,USA,284,-,491,-,1471,67.8
1476,Central Michigan University,USA,285,-,963,-,1417,67.8
1483,Illinois State University,USA,286,-,764,-,1440,67.8
1491,Texas Christian University,USA,287,-,-,-,1424,67.7
1494,University of Tulsa,USA,288,-,209,-,1677,67.7
1497,Montclair State University,USA,289,-,1350,-,1432,67.7
1507,DePaul University,USA,290,-,524,-,1486,67.7
1512,"Queens College, City University of New York",USA,291,-,750,-,1463,67.6
1514,Utah Valley University,USA,292,-,-,-,1445,67.6
1516,Eastern Virginia Medical School,USA,293,-,-,-,1448,67.6
1546,Trinity University,USA,294,-,134,-,1949,67.5
1547,Ohio Wesleyan University,USA,295,65,148,-,-,67.5
1557,Cooper Union,USA,296,45,583,-,-,67.4
1560,Claremont Graduate University,USA,297,-,-,271,1570,67.4
1562,Cleveland State University,USA,298,-,829,-,1503,67.4
1583,Georgia Southern University,USA,299,-,-,-,1511,67.3
1593,University of Massachusetts Dartmouth,USA,300,-,1218,-,1523,67.3
1599,Brooklyn College,USA,301,129,1481,-,1769,67.3
1608,Rowan University,USA,302,-,-,-,1536,67.2
1615,University of North Carolina Wilmington,USA,303,-,-,-,1542,67.2
1628,Western Washington University,USA,304,-,1182,-,1558,67.1
1629,"California State University, Los Angeles",USA,305,-,783,-,1573,67.1
1633,University of New Orleans,USA,306,-,-,-,1560,67.1
1644,Chapman University,USA,307,-,961,-,1577,67.1
1648,College of Charleston,USA,308,-,-,-,1575,67.1
1650,Jackson State University,USA,309,-,-,-,1579,67.1
1672,James Madison University,USA,310,-,965,-,1608,67
1673,Naval Postgraduate School,USA,311,-,1256,-,1600,67
1684,St. John's University,USA,312,-,200,-,1960,66.9
1689,Marshall University,USA,313,436,386,-,1745,66.9
1694,Appalachian State University,USA,314,-,1200,-,1622,66.9
1697,South Dakota School of Mines and Technology,USA,315,131,-,-,1879,66.9
1702,University of Arkansas at Little Rock,USA,316,-,1221,-,1630,66.8
1712,Idaho State University,USA,317,450,-,-,1645,66.8
1715,New Mexico Institute of Mining and Technology,USA,318,-,-,-,1644,66.8
1718,Union College,USA,319,176,130,-,-,66.8
1721,Washington and Lee University,USA,320,96,172,-,-,66.8
1725,"California State University, Sacramento",USA,321,-,579,-,1702,66.8
1729,"University of Puerto Rico, Río Piedras Campus",USA,322,-,-,-,1654,66.7
1744,Hamilton College,USA,323,75,337,-,-,66.7
1762,East Tennessee State University,USA,324,-,-,-,1688,66.6
1778,Towson University,USA,325,-,791,-,1725,66.6
1780,Kennesaw State University,USA,326,-,-,-,1704,66.5
1796,Wellesley College,USA,327,-,679,-,1768,66.5
1799,Franklin & Marshall College,USA,328,116,767,-,-,66.5
1818,Embry-Riddle Aeronautical University,USA,329,-,-,-,1740,66.4
1835,University of Alaska Anchorage,USA,330,-,-,-,1759,66.3
1838,Florida Agricultural and Mechanical University,USA,331,-,-,-,1762,66.3
1845,Drew University,USA,332,-,736,125,-,66.3
1862,Kettering University,USA,333,-,86,-,-,66.2
1868,Duquesne University,USA,334,-,770,-,1812,66.2
1876,College of Staten Island,USA,335,-,-,-,1799,66.2
1884,University of Richmond,USA,336,-,-,-,1806,66.2
1889,Wichita State University,USA,337,-,996,-,1820,66.1
1908,Rosalind Franklin University of Medicine and Science,USA,338,-,-,-,1831,66.1
1926,University of Colorado Colorado Springs,USA,339,-,-,-,1849,66
1939,University of San Diego,USA,340,-,493,-,1964,66
1953,Reed College,USA,341,101,1166,-,-,65.9
1958,Northeast Ohio Medical University,USA,342,-,-,-,1882,65.9
1981,Sam Houston State University,USA,343,-,1339,-,1909,65.8
1989,University of Hawaii at Hilo,USA,344,-,-,-,1914,65.8
1990,University of North Florida,USA,345,-,-,-,1915,65.8
1991,Trinity College,USA,346,104,273,-,-,65.8
1993,Sonoma State University,USA,347,-,-,-,1917,65.8
